01net.com,537,538
103092804.com,950,909
110mb.com,506,507
123tonosgratis.com,863,866
126.com,289,306
163.com,43,43
17173.com,750,768
1und1.de,408,398
1under.ru,883,885
21cn.com,529,579
2ch.net,146,142
39.net,433,407
4shared.com,85,87
51.com,524,528
51job.com,464,498
56.com,130,131
58.com,973,895
6.cn,296,368
6park.com,-,990
6rb.com,896,925
888.com,655,691
89.com,724,727
9wee.com,755,740
abc.go.com,562,569
abcnews.go.com,508,501
about.com,75,75
aboutus.org,792,758
abril.com.br,864,807
accuweather.com,667,696
acer.com,657,646
adbrite.com,534,549
addictinggames.com,404,397
addthis.com,612,553
admagnet.net,663,667
adobe.com,56,53
adsrevenue.net,239,237
adtech.info,828,802
adult-empire.com,613,609
adultadworld.com,198,215
adultfriendfinder.com,80,63
advertising.com,623,835
advertserve.com,292,290
advmaker.ru,570,571
aebn.net,493,492
aftonbladet.se,670,652
agame.com,845,892
aim.com,215,233
alibaba.com,164,163
alice.it,334,335
alimama.com,475,465
aljazeera.net,739,772
allabout.co.jp,671,681
allegro.pl,205,203
allocine.fr,526,563
allrecipes.com,877,884
alot.com,690,896
altervista.org,441,458
amazon.cn,788,762
amazon.co.jp,118,117
amazon.co.uk,238,234
amazon.com,34,34
amazon.de,129,123
amazon.fr,-,993
amazonaws.com,765,775
ameba.jp,240,240
ameblo.jp,79,79
americanas.com.br,990,944
americanexpress.com,886,864
ancestry.com,881,853
angelfire.com,955,951
anonym.to,272,277
answers.com,160,157
aol.co.uk,910,939
aol.com,30,30
aol.fr,608,630
apple.com,66,60
apserver.net,730,751
archive.org,459,438
arcor.de,943,929
articlesbase.com,867,849
as.com,624,603
asahi.com,957,937
asg.to,989,678
ask.com,47,47
askmen.com,795,877
associatedcontent.com,707,689
atdmt.com,300,302
att.com,336,328
att.net,237,241
atwiki.jp,373,366
auction.co.kr,903,893
aufeminin.com,617,594
auto.ru,752,739
autohome.com.cn,904,910
autoscout24.de,-,997
autotrader.com,847,857
avast.com,488,439
avg.com,476,410
aweber.com,254,249
awempire.com,185,181
azet.sk,649,644
babylon.com,430,437
badongo.com,260,258
badoo.com,165,159
bahn.de,715,719
baidu.com,11,11
bangbros.com,878,843
bangbros1.com,405,408
bangbrosnetwork.com,748,697
bankofamerica.com,190,238
barnesandnoble.com,997,988
bbc.co.uk,45,45
bdr130.net,815,800
bearshare.com,782,822
bebo.com,134,130
beemp3.com,648,612
bestbuy.com,299,318
bharatstudent.com,494,491
bigfishgames.com,784,792
biglobe.ne.jp,166,171
bigpoint.com,224,230
bild.de,280,272
bizrate.com,658,621
blocket.se,924,920
blogbus.com,676,690
blogcatalog.com,436,429
blogchina.com,682,674
blogcu.com,944,903
blogfa.com,180,179
blogger.com,8,8
